entry_price,atm_strike,otm_strike,spread_width,entry_debit,exit_value,cost,max_profit,max_loss,pnl,pnl_pct,reason,bars_held,dte,symbol,entry_time,atr,entry_rsi,entry_close,kc_lower,entry_slope,entry_adx,entry_reason,exit_time
131.49,131.49,134.27,2.78,0.9,0.88,90.43,187.81,-90.43,-2.2,-2.4,BARS_STOP,10,8,HOOD,2025-11-06 15:00:00+00:00,1.85,23.0,131.46,136.57,-0.5065,29.7,"RSI=23.0, Close=$131.46 < KC_Lower=$136.57",2025-11-06 17:30:00+00:00
125.77,125.77,128.44,2.67,0.87,2.98,86.61,179.89,-86.61,179.89,207.7,MAX_PROFIT,1,8,HOOD,2025-12-11 15:00:00+00:00,1.78,19.1,125.67,130.82,-0.5103,25.1,"RSI=19.1, Close=$125.67 < KC_Lower=$130.82",2025-12-11 15:15:00+00:00
125.7,125.7,128.41,2.71,0.88,0.57,87.97,182.72,-87.97,-30.75,-35.0,BARS_STOP,10,8,HOOD,2025-12-11 15:45:00+00:00,1.8,23.6,125.68,128.71,-0.6834,31.8,"RSI=23.6, Close=$125.68 < KC_Lower=$128.71",2025-12-11 18:15:00+00:00
297.19,297.19,301.96,4.77,1.55,6.3,154.9,321.71,-154.9,321.71,207.7,MAX_PROFIT,4,8,COIN,2025-11-06 16:45:00+00:00,3.18,24.9,297.56,302.81,-1.0064,38.0,"RSI=24.9, Close=$297.56 < KC_Lower=$302.81",2025-11-06 17:45:00+00:00
284.66,284.66,288.59,3.93,1.28,1.24,127.59,264.99,-127.59,-3.1,-2.4,BARS_STOP,10,8,COIN,2025-11-13 18:30:00+00:00,2.62,24.3,284.71,287.88,-0.8557,35.5,"RSI=24.3, Close=$284.71 < KC_Lower=$287.88",2025-11-14 14:30:00+00:00
275.97,275.97,281.35,5.38,1.75,7.12,174.79,363.04,-174.79,363.04,207.7,MAX_PROFIT,1,7,COIN,2025-11-14 14:45:00+00:00,3.59,24.5,275.21,278.44,-0.6538,44.1,"RSI=24.5, Close=$275.21 < KC_Lower=$278.44",2025-11-14 15:00:00+00:00
268.38,268.38,273.97,5.59,1.82,1.73,181.61,377.19,-181.61,-8.95,-4.9,BARS_STOP,10,4,COIN,2025-11-17 15:45:00+00:00,3.73,24.6,268.37,273.09,-1.2274,32.0,"RSI=24.6, Close=$268.37 < KC_Lower=$273.09",2025-11-17 18:15:00+00:00
246.5,246.5,249.94,3.45,1.12,0.66,112.01,232.64,-112.01,-45.59,-40.7,BARS_STOP,10,7,MU,2025-12-12 15:15:00+00:00,2.3,24.2,246.95,251.23,-0.8417,25.0,"RSI=24.2, Close=$246.95 < KC_Lower=$251.23",2025-12-12 17:45:00+00:00
235.04,235.04,237.75,2.71,0.88,3.19,87.99,182.74,-87.99,182.74,207.7,MAX_PROFIT,1,3,MU,2025-12-16 14:45:00+00:00,1.8,22.9,235.18,236.85,-0.4433,27.4,"RSI=22.9, Close=$235.18 < KC_Lower=$236.85",2025-12-16 15:00:00+00:00
212.42,212.42,215.0,2.58,0.84,0.35,83.78,174.01,-83.78,-48.29,-57.6,BARS_STOP,10,3,CIEN,2025-12-16 14:45:00+00:00,1.72,20.3,212.83,216.04,-0.5125,27.2,"RSI=20.3, Close=$212.83 < KC_Lower=$216.04",2025-12-16 17:15:00+00:00
274.61,274.61,276.11,1.5,0.49,1.58,48.9,101.57,-48.9,101.57,207.7,MAX_PROFIT,5,4,BURL,2025-11-17 19:30:00+00:00,1.0,24.7,274.81,276.79,-0.4258,31.5,"RSI=24.7, Close=$274.81 < KC_Lower=$276.79",2025-11-17 20:45:00+00:00
